destinationA	destinationB	distance
Vienna, Austria	Venice, Italy	609434
Vienna, Austria	Tuscany, Italy	853096
Vienna, Austria	Florence, Italy	854170
Vienna, Austria	Rome, Italy	1120545
Vienna, Austria	Vatican City	1126423
Vienna, Austria	Pompeii, Italy	1337574
Vienna, Austria	Gozo, Malta	2178120
Vienna, Austria	Dubrovnik, Croatia	954375
Vienna, Austria	Santorini, Thira, Greece	2030446
Vienna, Austria	Prague, Czech Republic	331433
Vienna, Austria	Krakow, Poland	460338
Vienna, Austria	Berlin, Germany	681658
Vienna, Austria	Amsterdam, Netherlands	1148844
Vienna, Austria	Keukenhof, Stationsweg, Lisse, Netherlands	1174568
Vienna, Austria	Glasgow, United Kingdom	2148578
Vienna, Austria	Edinburgh, United Kingdom	2104347
Vienna, Austria	Inverness, United Kingdom	2402279
Vienna, Austria	Stonehenge, Amesbury, United Kingdom	1600704
Vienna, Austria	London, United Kingdom	1477248
Vienna, Austria	Brussels, Belgium	1103805
Vienna, Austria	Paris, France	1236357
Vienna, Austria	Pamplona, Spain	2046490
Vienna, Austria	Lagos, Portugal	3090667
Vienna, Austria	Granada, Spain	2707192
Vienna, Austria	Barcelona, Spain	1833015
Vienna, Austria	Luberone, Bonnieux, France	1395466
Vienna, Austria	Nice, France	1167100
Vienna, Austria	Monte Carlo, Monaco	1153139
Vienna, Austria	Interlaken, Switzerland	865137
Prague, Czech Republic	Innsbruck, Austria	546923
Prague, Czech Republic	Munich, Germany	382153
Prague, Czech Republic	Pag, Croatia	927487
Prague, Czech Republic	Venice, Italy	813577
Prague, Czech Republic	Tuscany, Italy	1030639
Prague, Czech Republic	Florence, Italy	1031714
Prague, Czech Republic	Rome, Italy	1298089
Prague, Czech Republic	Vatican City	1303967
Prague, Czech Republic	Pompeii, Italy	1515118
Prague, Czech Republic	Gozo, Malta	2355664
Prague, Czech Republic	Dubrovnik, Croatia	1223214
Prague, Czech Republic	Santorini, Thira, Greece	2312511
Prague, Czech Republic	Vienna, Austria	331074
Prague, Czech Republic	Krakow, Poland	532771
Prague, Czech Republic	Berlin, Germany	351108
Prague, Czech Republic	Amsterdam, Netherlands	895987
Prague, Czech Republic	Keukenhof, Stationsweg, Lisse, Netherlands	921711
Prague, Czech Republic	Glasgow, United Kingdom	1942892
Prague, Czech Republic	Edinburgh, United Kingdom	1898661
Prague, Czech Republic	Inverness, United Kingdom	2196592
Prague, Czech Republic	Stonehenge, Amesbury, United Kingdom	1395017
Prague, Czech Republic	London, United Kingdom	1271562
Prague, Czech Republic	Brussels, Belgium	898118
Prague, Czech Republic	Paris, France	1030315
Prague, Czech Republic	Pamplona, Spain	1840990
Prague, Czech Republic	Lagos, Portugal	2929519
Prague, Czech Republic	Granada, Spain	2589245
Prague, Czech Republic	Barcelona, Spain	1715068
Prague, Czech Republic	Luberone, Bonnieux, France	1339813
Prague, Czech Republic	Nice, France	1194463
Prague, Czech Republic	Monte Carlo, Monaco	1180502
Prague, Czech Republic	Interlaken, Switzerland	819074
Krakow, Poland	Innsbruck, Austria	905752
Krakow, Poland	Munich, Germany	913388
Krakow, Poland	Pag, Croatia	1109921
Krakow, Poland	Venice, Italy	1060707
Krakow, Poland	Tuscany, Italy	1304369
Krakow, Poland	Florence, Italy	1305443
Krakow, Poland	Rome, Italy	1571818
Krakow, Poland	Vatican City	1577696
Krakow, Poland	Pompeii, Italy	1788848
Krakow, Poland	Gozo, Malta	2629394
Krakow, Poland	Dubrovnik, Croatia	1405648
Krakow, Poland	Santorini, Thira, Greece	2192838
Krakow, Poland	Vienna, Austria	460828
Krakow, Poland	Prague, Czech Republic	532658
Krakow, Poland	Berlin, Germany	596617
Krakow, Poland	Amsterdam, Netherlands	1216962
Krakow, Poland	Keukenhof, Stationsweg, Lisse, Netherlands	1246392
Krakow, Poland	Glasgow, United Kingdom	2306171
Krakow, Poland	Edinburgh, United Kingdom	2261940
Krakow, Poland	Inverness, United Kingdom	2559871
Krakow, Poland	Stonehenge, Amesbury, United Kingdom	1758297
Krakow, Poland	London, United Kingdom	1634841
Krakow, Poland	Brussels, Belgium	1295011
Krakow, Poland	Paris, France	1537618
Krakow, Poland	Pamplona, Spain	2421396
Krakow, Poland	Lagos, Portugal	3509925
Krakow, Poland	Granada, Spain	3126414
Krakow, Poland	Barcelona, Spain	2252237
Krakow, Poland	Luberone, Bonnieux, France	1876982
Krakow, Poland	Nice, France	1618374
Krakow, Poland	Monte Carlo, Monaco	1604412
Krakow, Poland	Interlaken, Switzerland	1356243
Berlin, Germany	Innsbruck, Austria	749443
Berlin, Germany	Munich, Germany	584672
Berlin, Germany	Pag, Croatia	1358313
Berlin, Germany	Venice, Italy	1129960
Berlin, Germany	Tuscany, Italy	1233159
Berlin, Germany	Florence, Italy	1234233
Berlin, Germany	Rome, Italy	1500608
Berlin, Germany	Vatican City	1506486
Berlin, Germany	Pompeii, Italy	1717637
Berlin, Germany	Gozo, Malta	2558183
Berlin, Germany	Dubrovnik, Croatia	1654040
Berlin, Germany	Santorini, Thira, Greece	2661355
Berlin, Germany	Vienna, Austria	679919
Berlin, Germany	Prague, Czech Republic	350822
Berlin, Germany	Krakow, Poland	596818
Berlin, Germany	Amsterdam, Netherlands	655483
Berlin, Germany	Keukenhof, Stationsweg, Lisse, Netherlands	684912
Berlin, Germany	Glasgow, United Kingdom	1771783
Berlin, Germany	Edinburgh, United Kingdom	1727552
Berlin, Germany	Inverness, United Kingdom	2025483
Berlin, Germany	Stonehenge, Amesbury, United Kingdom	1223909
Berlin, Germany	London, United Kingdom	1100453
Berlin, Germany	Brussels, Belgium	763641
Berlin, Germany	Paris, France	1054679
Berlin, Germany	Pamplona, Spain	1919646
Berlin, Germany	Lagos, Portugal	3008175
Berlin, Germany	Granada, Spain	2742574
Berlin, Germany	Barcelona, Spain	1868397
Berlin, Germany	Luberone, Bonnieux, France	1493142
Berlin, Germany	Nice, France	1343874
Berlin, Germany	Monte Carlo, Monaco	1329913
Berlin, Germany	Interlaken, Switzerland	1012417
Amsterdam, Netherlands	Innsbruck, Austria	930481
Amsterdam, Netherlands	Munich, Germany	824200
Amsterdam, Netherlands	Pag, Croatia	1610871
Amsterdam, Netherlands	Venice, Italy	1306864
Amsterdam, Netherlands	Tuscany, Italy	1379234
Amsterdam, Netherlands	Florence, Italy	1380308
Amsterdam, Netherlands	Rome, Italy	1646683
Amsterdam, Netherlands	Vatican City	1652561
Amsterdam, Netherlands	Pompeii, Italy	1863713
Amsterdam, Netherlands	Gozo, Malta	2704259
Amsterdam, Netherlands	Dubrovnik, Croatia	1906598
Amsterdam, Netherlands	Santorini, Thira, Greece	3182998
Amsterdam, Netherlands	Vienna, Austria	1146633
Amsterdam, Netherlands	Prague, Czech Republic	877481
Amsterdam, Netherlands	Krakow, Poland	1215092
Amsterdam, Netherlands	Berlin, Germany	654939
Amsterdam, Netherlands	Keukenhof, Stationsweg, Lisse, Netherlands	35803
Amsterdam, Netherlands	Glasgow, United Kingdom	1210812
Amsterdam, Netherlands	Edinburgh, United Kingdom	1166581
Amsterdam, Netherlands	Inverness, United Kingdom	1464513
Amsterdam, Netherlands	Stonehenge, Amesbury, United Kingdom	662938
Amsterdam, Netherlands	London, United Kingdom	539482
Amsterdam, Netherlands	Brussels, Belgium	202305
Amsterdam, Netherlands	Paris, France	508389
Amsterdam, Netherlands	Pamplona, Spain	1373356
Amsterdam, Netherlands	Lagos, Portugal	2461885
Amsterdam, Netherlands	Granada, Spain	2183582
Amsterdam, Netherlands	Barcelona, Spain	1537486
Amsterdam, Netherlands	Luberone, Bonnieux, France	1187221
Amsterdam, Netherlands	Nice, France	1391776
Amsterdam, Netherlands	Monte Carlo, Monaco	1413531
Amsterdam, Netherlands	Interlaken, Switzerland	885845
Keukenhof, Stationsweg, Lisse, Netherlands	Innsbruck, Austria	957737
Keukenhof, Stationsweg, Lisse, Netherlands	Munich, Germany	851827
Keukenhof, Stationsweg, Lisse, Netherlands	Pag, Croatia	1638498
Keukenhof, Stationsweg, Lisse, Netherlands	Venice, Italy	1365772
Keukenhof, Stationsweg, Lisse, Netherlands	Tuscany, Italy	1409846
Keukenhof, Stationsweg, Lisse, Netherlands	Florence, Italy	1410921
Keukenhof, Stationsweg, Lisse, Netherlands	Rome, Italy	1677295
Keukenhof, Stationsweg, Lisse, Netherlands	Vatican City	1683174
Keukenhof, Stationsweg, Lisse, Netherlands	Pompeii, Italy	1894325
Keukenhof, Stationsweg, Lisse, Netherlands	Gozo, Malta	2734871
Keukenhof, Stationsweg, Lisse, Netherlands	Dubrovnik, Croatia	1934225
Keukenhof, Stationsweg, Lisse, Netherlands	Santorini, Thira, Greece	3210625
Keukenhof, Stationsweg, Lisse, Netherlands	Vienna, Austria	1174260
Keukenhof, Stationsweg, Lisse, Netherlands	Prague, Czech Republic	906717
Keukenhof, Stationsweg, Lisse, Netherlands	Krakow, Poland	1244328
Keukenhof, Stationsweg, Lisse, Netherlands	Berlin, Germany	684175
Keukenhof, Stationsweg, Lisse, Netherlands	Amsterdam, Netherlands	41649
Keukenhof, Stationsweg, Lisse, Netherlands	Glasgow, United Kingdom	1210860
Keukenhof, Stationsweg, Lisse, Netherlands	Edinburgh, United Kingdom	1166629
Keukenhof, Stationsweg, Lisse, Netherlands	Inverness, United Kingdom	1464561
